2026-05-15,,,,Current drawdown,Largest drawdown,To lowest drawdown 📉🔽,To Highest required 📈🔼
QDII,022664,2024-11-26,华泰柏瑞纳斯达克 100ETF 发起式联接（QDII）I,0.00%,-23.22%,23.22%,0.00%
QDII,017653,2023-03-24,创金合信全球芯片产业股票发起（QDII）(017653),-0.65%,-23.85%,23.36%,0.65%
QDII,206006,2010-10-12,鹏华全球中短债债券（QDII）(206006),-54.65%,-65.27%,23.42%,120.53%
QDII,017071,2023-11-17,申万菱信全球新能源股票型发起式（QDII）(017071),-2.19%,-25.26%,23.59%,2.23%
QDII,501226,2023-04-21,长城全球新能源车股票发起式（QDII）(501226),-0.33%,-23.85%,23.60%,0.33%
QDII,018851,2023-09-05,博时标普石油天然气勘探及生产精选行业指数发起（QDII）(018851),-10.19%,-31.47%,23.69%,11.35%
QDII,017144,2023-05-23,华宝海外新能源汽车股票发起式（QDII）(017144),-9.78%,-31.26%,23.81%,10.84%
QDII,016199,2022-09-02,汇添富全球汽车产业升级混合(QDII)(016199),-5.62%,-28.16%,23.89%,5.95%
QDII,015884,2022-10-28,中欧港股数字经济混合发起（QDII）(015884),-6.14%,-28.69%,24.03%,6.54%
QDII,513890,2021-12-17,摩根恒生科技ETF(QDII)(513890),-26.69%,-44.41%,24.17%,36.40%
QDII,011583,2021-05-06,大成港股精选混合（QDII）(011583),-19.05%,-38.63%,24.18%,23.54%
QDII,513800,2019-06-12,南方顶峰TOPIX ETF（QDII）(513800),-4.04%,-27.36%,24.30%,4.21%
QDII,007280,2019-07-26,摩根日本精选股票(QDII)(007280),-2.85%,-26.56%,24.41%,2.93%
QDII,015203,2022-03-07,汇添富全球移动互联混合（QDII）人民币D,0.00%,-24.43%,24.43%,0.00%
QDII,017091,2022-12-09,景顺长城纳斯达克科技ETF联接（QDII）(017091),0.00%,-24.61%,24.61%,0.00%
QDII,019118,2023-08-15,景顺长城纳斯达克科技ETF联接（QDII） E人民币,0.00%,-24.65%,24.65%,0.00%
QDII,118002,2012-06-04,易方达标普消费品指数增强（QDII）(118002),-13.77%,-35.04%,24.67%,15.97%
QDII,159607,2021-11-24,嘉实中证海外中国互联网30ETF（QDII）(159607),-28.73%,-46.57%,25.03%,40.32%
QDII,159509,2023-07-19,景顺长城纳斯达克科技ETF(QDII) (159509),0.00%,-25.05%,25.05%,0.00%
QDII,012060,2021-07-30,全球消费精选混合（QDII）(012060),-5.01%,-28.81%,25.06%,5.27%
QDII,159822,2020-09-29,新经济(159822),-47.76%,-61.10%,25.53%,91.43%
QDII,159605,2021-11-24,广发中证海外中国互联网30（QDII-ETF）(159605),-29.00%,-47.28%,25.74%,40.85%
QDII,016701,2023-03-15,银华海外数字经济量化选股混合发起式（QDII）(016701),0.00%,-25.86%,25.86%,0.00%
QDII,014438,2021-12-21,博时恒生科技ETF发起式联接（QDII）(014438),-26.12%,-45.27%,25.92%,35.36%
