2025-12-24,stockCode,publishDate,stockName,style,hasPosition,Current drawdown,Largest drawdown,fall_to_lowest_drawdown,pe,pe10pos,pb,pb10pos,roe,div,funds
A股,930743,2015-08-26,中证生科,成长,,-57.63%,-67.62%,-23.58%,5.3e+01,14.41%,3.8,14.41%,7.17%,0.96%,"汇添富中证生物科技指数（LOF）A(501009), 汇添富中证生物科技指数（LOF）C(501010), 易方达中证生物科技主题ETF(159837), 招商中证生物科技主题ETF(159849), 华夏中证生物科技主题ETF(516500), 生物科技ETF基金(516930), 华夏中证生物科技主题ETF发起式联接A(017604), 华夏中证生物科技主题ETF发起式联接C(017605), 易方达中证生物科技主题ETF联接发起式A(019324), 易方达中证生物科技主题ETF联接发起式C(019325)"
A股,930781,2016-02-04,中证影视,成长,,-66.20%,-78.22%,-35.56%,1.9e+02,41.02%,2.3,41.02%,1.21%,0.94%,"影视ETF(159855), 国泰中证影视主题ETF(516620)"
A股,930782,2016-02-04,500SNLV,价值,,3.10%,-37.10%,-38.99%,2e+01,73.76%,1.7,73.76%,8.50%,2.33%,"景顺长城中证500行业中性低波动指数A(003318), 华安中证500低波ETF(512260), 景顺长城中证500行业中性低波动指数C(019359)"
A股,930791,2016-03-22,CS医药TI,成长,,-47.53%,-58.84%,-21.56%,3.7e+01,15.51%,3.0,15.51%,8.11%,1.51%,"富国中证医药主题指数增强型（LOF）A(161035), 天弘中证医药主题指数增强A(012401), 富国中证医药主题指数增强型（LOF）C(005626), 天弘中证医药主题指数增强C(012402), 天弘中证医药主题指数增强E(022558)"
A股,930792,2016-04-22,HK银行,价值,,3.41%,-48.72%,-50.41%,6.9,54.56%,0.64,54.56%,9.28%,4.89%,"鹏华中证香港银行指数（LOF）A(501025), 泰康香港银行指数A(006809), 泰康香港银行指数C(006810), 鹏华中证香港银行指数(LOF)C(010365)"
A股,930820,2016-05-11,CS高端制,成长,,-8.65%,-51.78%,-47.21%,4.7e+01,84.82%,3.9,84.82%,8.30%,0.96%,"富国中证高端制造指数增强型（LOF）A(161037), 富国中证高端制造指数增强型（LOF）C(005627)"
A股,930821,2016-05-11,中证VR,成长,,-10.34%,-52.90%,-47.47%,4.7e+01,61.51%,3.1,61.51%,6.60%,0.85%,VRETF(159786)
A股,930839,2016-06-08,港股通高息精选,价值,,-13.30%,-47.34%,-39.26%,1e+01,79.97%,1.5,79.97%,15.00%,5.61%,"民生加银港股通高股息A(004532), 民生加银中证港股通指数C(004533), 港股红利ETF(159691), 工银中证港股通高股息精选ETF联接A(024247), 工银中证港股通高股息精选ETF联接C(024248)"
A股,930850,2016-07-20,智能制造,成长,,1.66%,-50.88%,-51.68%,5.8e+01,92.85%,5.4,92.85%,9.31%,0.74%,华宝中证智能制造主题ETF(516800)
A股,930851,2016-07-20,云计算,成长,,-3.08%,-59.60%,-58.32%,9.6e+01,99.45%,7.4,99.45%,7.71%,0.30%,"融通中证云计算与大数据主题指数（LOF）A(161628), 易方达中证云计算与大数据主题ETF(516510), 招商中证云计算ETF(159890), 东财云计算指数增强A(012321), 华夏中证云计算与大数据主题ETF(516630), 东财云计算指数增强C(012322), 大数据ETF(159739), 融通中证云计算与大数据主题指数（LOF）C(014130), 易方达中证云计算与大数据主题ETF联接发起式A(017853), 易方达中证云计算与大数据主题ETF联接发起式C(017854), 华夏云计算与大数据ETF联接A(019868), 华夏中证云计算与大数据主题ETF发起式联接C(019869), 广发中证云计算与大数据ETF(159527), 广发中证云计算与大数据ETF发起式联接A(021397), 广发中证云计算与大数据ETF发起式联接C(021398), 鹏华中证云计算与大数据主题ETF发起式联接A(021090), 招商中证云计算与大数据主题ETF发起式联接A(021716), 鹏华中证云计算与大数据主题ETF发起式联接C(021091), 招商中证云计算与大数据主题ETF发起式联接C(021717), 华安中证云计算与大数据主题指数发起式A(019989), 华安中证云计算与大数据主题指数发起式C(019990)"
A股,930875,2016-08-17,空天军工,成长,,-33.02%,-59.40%,-39.38%,7.6e+01,62.32%,3.9,62.32%,5.13%,0.63%,"鹏华空天军工指数（LOF）A(160643), 鹏华空天军工指数C（LOF）(010364)"
A股,930901,2016-10-18,动漫游戏,成长,,-47.35%,-75.11%,-52.73%,3.7e+01,77.31%,3.9,77.31%,10.54%,1.31%,"国泰中证动漫游戏ETF(516010), 游戏动漫(516770), 华夏中证动漫游戏ETF(159869), 国泰中证动漫游戏ETF联接A(012728), 国泰中证动漫游戏ETF联接C(012729), 华夏中证动漫游戏ETF发起式联接A(012768), 华夏中证动漫游戏ETF发起式联接C(012769), 国泰中证动漫游戏ETF联接E(022481), 华夏中证动漫游戏ETF发起式联接D(023715)"
A股,930902,2016-10-18,中证数据,成长,,-39.84%,-65.13%,-42.04%,1.6e+02,67.99%,4.3,67.99%,2.69%,0.45%,"富国中证大数据产业ETF(515400), 华夏中证大数据产业ETF(516000), 华宝大数据ETF(516700), 富国中证大数据产业ETF发起式联接A(018134), 富国中证大数据产业ETF发起式联接C(018135), 华夏中证大数据产业ETF发起式联接A(020335), 华夏中证大数据产业ETF发起式联接C(020336), 华夏中证大数据产业ETF发起式联接D(023779)"
