2024/10/25,stockCode,publishDate,stockName,style,Current drawdown,Largest drawdown,fall_to_lowest_drawdown,funds
A股,931151,2019/4/22,光伏产业,成长,-54.74%,-68.28%,-29.92%,"天弘中证光伏A(011102), 天弘中证光伏C(011103), 招商中证光伏产业指数A(011966), 招商中证光伏产业指数C(011967), 广发中证光伏产业指数A(012364), 广发中证光伏产业指数C(012365), 华泰柏瑞光伏ETF联接A(012679), 华泰柏瑞光伏ETF联接C(012680), 平安中证光伏产业指数A(012722), 平安中证光伏产业指数C(012723), 华夏中证光伏产业指数发起式A(012885), 华夏中证光伏产业指数发起式C(012886), 银华中证光伏产业ETF发起式联接A(012928), 银华中证光伏产业ETF发起式联接C(012929), 华安中证光伏产业ETF发起式联接A(013105), 华安中证光伏产业ETF发起式联接C(013106), 国泰中证光伏产业ETF发起联接A(013601), 国泰中证光伏产业ETF发起联接C(013602), 汇添富中证光伏产业指数增强发起式A(013816), 汇添富中证光伏产业指数增强发起式C(013817), 嘉实中证光伏产业指数发起式A(014604), 嘉实中证光伏产业指数发起式C(014605), 博时中证光伏产业指数A(015993), 博时中证光伏产业指数C(015994), 浦银安盛中证光伏产业ETF联接A(017116), 浦银安盛中证光伏产业ETF联接C(017117), 易方达中证光伏产业指数发起式A(017646), 易方达中证光伏产业指数发起式C(017647), 东财中证光伏指数发起式A(018502), 东财中证光伏指数发起式C(018503), 南方中证光伏产业指数发起A(019531), 南方中证光伏产业指数发起C(019532), 鹏华中证光伏产业ETF发起式联接(021084), 光伏ETF(515790), 平安中证光伏产业ETF(516180), 汇添富中证光伏产业ETF(516290), 光伏50(516880), 浦银安盛中证光伏产业ETF(159609), 华安中证光伏产业ETF(159618), 天弘中证光伏产业ETF(159857), 光伏产业(159863), 国泰中证光伏产业ETF(159864)"
A股,980032,2015/2/17,新能电池,成长,-54.32%,-67.76%,-29.42%,"广发国证新能源车电池ETF发起联接A(013179), 广发国证新能源车电池ETF发起联接C(013180), 景顺长城国证新能源车电池ETF联接A(015871), 景顺长城国证新能源车电池ETF联接C(015872), 工银国证新能源车电池ETF发起式联接A(015873), 工银国证新能源车电池ETF发起式联接C(015874), 万家国证新能源车电池指数发起式A(018379), 万家国证新能源车电池指数发起式C(018380), 广发国证新能源车电池ETF(159755), 景顺长城国证新能源车电池ETF(159757), 兴银国证新能源车电池 ETF(159767), 建信国证新能源车电池ETF(159775), 锂电池ETF(159840)"
A股,945,2009/10/28,内地运输,价值,-54.30%,-60.86%,-14.35%,"国泰中证内地运输主题ETF发起联接A(018905), 国泰中证内地运输主题ETF发起联接C(018906), 国泰中证内地运输主题ETF(561320), 嘉实中证内地运输主题ETF(159683)"
A股,931166,2019/4/25,医药健康100,成长,-54.29%,-62.97%,-18.99%,"嘉实中证医药健康100策略ETF联接A(008154), 嘉实中证医药健康100策略ETF联接C(008155), 嘉实医药健康100ETF(515960)"
A股,808,2012/2/17,医药生物,成长,-54.28%,-63.07%,-19.23%,"申万菱信中证申万医药生物指数C(015176), 申万菱信中证申万医药生物指数A(163118)"
A股,814,2012/4/11,细分医药,成长,-54.25%,-62.43%,-17.88%,"华安中证细分医药ETF联接A(000373), 华安中证细分医药ETF联接C(000376), 华安中证细分医药ETF(512120)"
A股,998,2011/11/8,中证TMT,成长,-54.17%,-70.91%,-36.53%,"中信保诚中证TMT指数（LOF）C(013122), 中信保诚中证TMT指数（LOF）A(165522)"
港股,HSSSHID,2020/3/1,恒生沪深港创新药精选50指数,成长,-53.88%,-64.78%,-23.63%,天弘恒生沪深港创新药精选50ETF(517380)
A股,930604,2015/3/23,中国互联网30,成长,-53.83%,-73.25%,-42.06%,"广发中证海外中国互联网30（QDII-ETF）(159605), 嘉实中证海外中国互联网30ETF（QDII）(159607)"
A股,813,2012/4/11,细分化工,成长,-53.82%,-62.43%,-18.64%,"华宝化工ETF联接A(012537), 华宝化工ETF联接C(012538), 嘉实中证细分化工产业主题指数发起式A(013527), 嘉实中证细分化工产业主题指数发起式C(013528), 鹏华中证细分化工产业主题ETF联接A(014942), 鹏华中证细分化工产业主题ETF联接C(014943), 汇添富中证细分化工产业主题指数增强发起式A(015225), 华泰紫金中证细分化工产业主题指数发起A(015328), 华泰紫金中证细分化工产业主题指数发起C(015329), 天弘中证细分化工指数发起A(015896), 天弘中证细分化工指数发起C(015897), 东财中证化工指数发起式A(019589), 东财中证化工指数发起式C(019590), 富国中证细分化工产业主题ETF发起式联接A(020273), 富国中证细分化工产业主题ETF发起式联接C(020274), 华宝化工ETF(516020), 富国中证细分化工产业主题ETF(516120), 国泰中证细分化工产业主题ETF(516220), 化工产业(516690), 化工ETF(159870)"
A股,399973,2014/4/15,中证国防,成长,-53.73%,-71.73%,-38.90%,"鹏华国防C(012041), 国防ETF(512670), 鹏华国防A(160630)"
