2023-06-16,,,,style,position,Current drawdown,Largest drawdown,To lowest drawdown 📉🔽,To Highest required 📈🔼,pe,pe10pos,pe to lowest,pb,pb10pos,pb to lowest,roe,roe/pe,div,funds
A股,931468,2020-05-20,红利质量,价值,,-13.28%,-23.16%,11.39%,15.31%,1.7e+01,10.84%,18.50%,3.2,4.28%,14.02%,18.82%,1.1,3.11%,"华夏中证红利质量ETF发起式联接A(016440), 华夏中证红利质量ETF(159758)"
A股,000932,2009-07-02,中证消费,成长,,-36.72%,-44.33%,12.03%,58.03%,2.9e+01,46.88%,41.63%,5.7,59.03%,51.59%,19.66%,0.67,2.12%,"汇添富中证主要消费ETF联接A(000248), 嘉实中证主要消费ETF联接A(009179), 嘉实中证主要消费ETF联接C(009180), 汇添富中证主要消费ETF联接C(012857), 嘉实中证主要消费ETF(512600), 广发中证主要消费ETF(560680), 博时主要消费ETF(159672), 南方中证主要消费ETF(159689), 汇添富中证主要消费ETF(159928)"
A股,931151,2019-04-21,光伏产业,成长,,-36.80%,-44.48%,12.15%,58.23%,1.6e+01,3.17%,14.73%,3.4,41.92%,49.55%,21.25%,1.3,1.66%,"天弘中证光伏A(011102), 天弘中证光伏C(011103), 招商中证光伏产业指数A(011966), 招商中证光伏产业指数C(011967), 广发中证光伏产业指数A(012364), 广发中证光伏产业指数C(012365), 华泰柏瑞光伏ETF联接A(012679), 华泰柏瑞光伏ETF联接C(012680), 平安中证光伏产业指数A(012722), 平安中证光伏产业指数C(012723), 华夏中证光伏产业指数发起式A(012885), 华夏中证光伏产业指数发起式C(012886), 银华中证光伏产业ETF发起式联接A(012928), 华安中证光伏产业ETF发起式联接A(013105), 华安中证光伏产业ETF发起式联接C(013106), 国泰中证光伏产业ETF发起联接A(013601), 国泰中证光伏产业ETF发起联接C(013602), 汇添富中证光伏产业指数增强发起式A(013816), 汇添富中证光伏产业指数增强发起式C(013817), 嘉实中证光伏产业指数发起式A(014604), 嘉实中证光伏产业指数发起式C(014605), 博时中证光伏产业指数A(015993), 浦银安盛中证光伏产业ETF联接A(017116), 光伏ETF(515790), 光伏产业(516180), 汇添富中证光伏产业ETF(516290), 光伏50(516880), 浦银安盛中证光伏产业ETF(159609), 华安中证光伏产业ETF(159618), 光伏ETF(159857), 光伏产业(159863), 国泰中证光伏产业ETF(159864)"
A股,399295,2019-01-22,创业蓝筹,成长,,-34.01%,-42.04%,12.17%,51.54%,3.1e+01,1.41%,5.09%,5.6,12.56%,24.80%,18.06%,0.59,0.89%,"华夏创业板低波价值ETF发起式联接A(007472), 华夏创业板低波价值ETF发起式联接C(007473), 华夏创业板低波价值ETF(159966)"
A股,399088,2020-02-17,深创100,成长,,-32.61%,-40.95%,12.38%,48.39%,2.3e+01,5.20%,6.59%,3.5,7.80%,6.99%,15.22%,0.67,1.31%,"华宝深创100ETF发起式联接A(013177), 华宝深创100ETF发起式联接C(013178), 永赢深创100ETF发起式联接A(013907), 永赢深创100ETF发起式联接C(013908), 深创100(159716), 深创龙头ETF(159721)"
A股,000036,2009-01-08,上证消费,成长,,-38.03%,-45.71%,12.39%,61.37%,3.3e+01,55.79%,44.86%,7.7,71.51%,64.12%,23.33%,0.72,2.26%,华夏消费ETF(510630)
A股,931402,2020-01-13,证券先锋,价值,,-31.03%,-39.88%,12.83%,44.99%,1.9e+01,35.83%,28.73%,1.3,13.87%,9.95%,6.84%,0.36,1.53%,华富中证券公司先锋策略 ETF(516980)
A股,000806,2012-02-09,消费服务,成长,,-40.59%,-48.29%,12.96%,68.32%,1.1e+01,48.44%,37.75%,1.2,8.50%,13.75%,10.91%,1.0,3.34%,消服ETF(516600)
A股,950096,2016-05-10,上海国企,价值,,-22.42%,-32.55%,13.06%,28.90%,1.2e+01,57.44%,28.36%,0.86,6.95%,10.10%,7.17%,0.58,2.43%,"汇添富中证上海国企ETF联接A(003194), 中证上海国企ETF(510810)"
A股,931866,2022-05-08,中证机床,中盘成长,,-14.86%,-26.14%,13.25%,17.45%,4.2e+01,85.08%,21.94%,4.4,25.40%,15.44%,10.48%,0.25,0.70%,"国泰中证机床ETF发起联接A(017471), 国泰中证机床ETF发起联接C(017472), 华夏中证机床ETF(159663), 国泰中证机床ETF(159667)"
A股,000949,2009-10-27,中证农业,周期,,-40.38%,-48.31%,13.30%,67.73%,2e+01,4.43%,13.11%,2.5,0.70%,2.98%,12.50%,0.64,1.61%,"天弘中证农业主题A(010769), 天弘中证农业主题C(010770), 富国中证农业主题ETF联接A(015878), 华夏中证农业主题ETF发起式联接A(016077), 博时中证农业主题指数发起式A(017019), 华夏中证农业主题ETF(516810), 富国中证农业主题ETF(159825), 农业50(159827)"
A股,399330,2006-01-23,深证100,宽基,,-37.22%,-45.62%,13.38%,59.29%,2.1e+01,37.26%,30.24%,2.9,44.44%,35.80%,13.81%,0.64,1.49%,"宝盈祥瑞混合A(000639), 招商深证100指数C(004408), 易方达深证100ETF联接C(004742), 方正富邦深证100ETF联接A(006687), 方正富邦深证100ETF联接C(006688), 招商深证100ETF联接(008236), 招商深证100ETF联接C(008237), 广发深证100指数C(009472), 易方达深证100ETF联接A(110019), 融通深证100指数A/B(161604), 广发深证100指数（LOF）A(162714), 招商深证100指数A(217016), 建信深证100指数增强(530018), 深证100ETF华安(159706), 易方达深证100ETF(159901), 方正富邦深证100ETF(159961), 深100P(159969), 深100ETF工银(159970), 招商深证100ETF(159975), 国投瑞银深证100指数（LOF）(161227), 银华深证100指数(161812)"
A股,000037,2009-01-08,上证医药,成长,,-39.78%,-47.85%,13.40%,66.06%,3.4e+01,48.56%,37.73%,3.5,7.55%,19.86%,10.29%,0.3,1.12%,华夏医药ETF(510660)
A股,000978,2011-03-17,医药100,成长,,-39.44%,-47.63%,13.52%,65.13%,3e+01,13.59%,20.47%,3.7,5.87%,17.12%,12.33%,0.41,1.23%,"国联安中证医药100A(000059), 天弘中证医药100A(001550), 天弘中证医药100C(001551), 国联安中证医药100C(006569)"
A股,931476,2020-04-29,ESG 120策略,价值,,-31.74%,-41.26%,13.95%,46.50%,1e+01,48.75%,22.87%,1.2,37.42%,19.17%,12.00%,1.2,3.65%,"英大中证ESG120策略指数A(012854), 浦银安盛中证ESG 120策略ETF(516720)"
A股,399701,2010-05-09,深证F60,价值,,-35.19%,-44.23%,13.95%,54.30%,2.2e+01,80.01%,44.94%,2.2,51.11%,35.87%,10.00%,0.45,1.91%,"建信深证基本面60ETF联接C(006363), 建信深证基本面60ETF联接A(530015), 建信深证基本面60ETF(159916)"
