2023-06-16,,,,style,position,Current drawdown,Largest drawdown,To lowest drawdown 📉🔽,To Highest required 📈🔼,pe,pe10pos,pe to lowest,pb,pb10pos,pb to lowest,roe,roe/pe,div,funds
A股,930625,2015-04-20,SHS互联网,成长,,-38.66%,-58.75%,32.75%,63.03%,3.4e+01,21.95%,28.79%,4.1,15.93%,35.96%,12.06%,0.35,0.44%,"东财沪港深互联网指数A(012371), 东财沪港深互联网指数C(012372), 工银沪港深互联网ETF发起式联接A(012759), 工银沪港深互联网ETF发起式联接C(012760), 互联网50(517050), 嘉实中证沪港深互联网ETF(517200), 汇添富中证沪港深互联网ETF(159729), 互联网龙头ETF(159856)"
A股,399699,2017-06-08,金融科技,成长,,-18.53%,-45.30%,32.86%,22.74%,2.1e+01,46.07%,31.31%,2.0,17.93%,23.31%,9.52%,0.46,2.05%,"合煦智远金融科技指数(LOF)C(168702), 合煦智远金融科技指数(LOF)A(168701)"
A股,H30590,2015-02-09,机器人,成长,,-20.46%,-46.76%,33.07%,25.72%,4.7e+01,27.73%,49.00%,4.4,74.88%,50.61%,9.36%,0.2,0.69%,"机器人YH(562360), 华夏中证机器人ETF(562500), 机器人ETF(159770)"
A股,930604,2015-03-22,中国互联网30,成长,,-59.94%,-73.25%,33.23%,149.63%,2.5e+01,0.80%,13.56%,2.7,9.08%,34.37%,10.80%,0.44,0.40%,"广发中证海外中国互联网30（QDII-ETF）(159605), 嘉实中证海外中国互联网30ETF（QDII）(159607)"
A股,399395,2012-10-28,国证有色,成长,,-36.80%,-58.12%,33.73%,58.23%,1.3e+01,0.21%,2.94%,2.3,34.26%,25.23%,17.69%,1.3,1.83%,"有色50(159880), 国泰国证有色金属行业指数A(160221)"
港股,HSTECH,2020-06-30,恒生科技指数,成长,,-61.32%,-74.40%,33.82%,158.53%,2.8e+01,2.53%,13.30%,2.6,22.33%,33.65%,9.29%,0.33,0.49%,"天弘恒生科技指数A(012348), 天弘恒生科技指数C(012349), 广发恒生科技ETF联接（QDII）A(012804), 华夏恒生科技ETF发起式联接（QDII）A(013402), 博时恒生科技ETF发起式联接（QDII）A(014438), 易方达恒生科技ETF（QDII）(513010), 恒生科技(513130), 华夏恒生科技ETF（QDII）(513180), 汇添富恒生科技ETF(513260), 华安恒生科技ETF(513580), 摩根恒生科技ETF(QDII)(513890), 恒生科技(159740), 嘉实恒生科技ETF（QDII）(159741), 博时恒生科技ETF(QDII)(159742)"
A股,000682,2021-08-15,科创信息,成长,,-20.59%,-47.75%,34.20%,25.93%,9.8e+01,99.53%,57.58%,5.7,72.64%,33.12%,5.82%,0.059,0.20%,"嘉实上证科创板新一代信息技术ETF(588100), 华安上证科创板新一代信息技术ETF(588260)"
A股,H30533,2014-12-28,中国互联网50,成长,*,-60.37%,-73.99%,34.37%,152.33%,2.5e+01,0.77%,12.99%,2.7,9.52%,35.08%,10.80%,0.44,0.40%,"易方达中证海外中国互联网50ETF联接（QDII）A(006327), 易方达中证海外中国互联网50ETF联接（QDII）C(006328), 易方达中证海外中国互联网50(QDII-ETF)(513050)"
A股,000811,2012-04-10,细分有色,周期,,-36.35%,-58.27%,34.44%,57.11%,1.4e+01,1.81%,5.53%,2.4,35.67%,26.26%,17.14%,1.2,1.70%,"华夏中证细分有色金属产业主题ETF发起式联接A(016707), 华夏中证细分有色金属产业主题ETF(516650), 汇添富中证细分有色金属产业主题ETF(159652)"
A股,000935,2009-07-02,中证信息,成长,,-32.90%,-56.46%,35.11%,49.03%,5.1e+01,71.63%,55.87%,4.0,38.01%,32.73%,7.84%,0.15,0.69%,"鹏华信息C(012040), 鹏华信息A(160626)"
A股,399990,2015-01-20,煤炭等权,周期,,-27.85%,-53.24%,35.19%,38.60%,6.2,0.59%,3.73%,1.3,47.85%,35.34%,20.97%,3.4,9.17%,"招商中证煤炭等权指数C(013596), 招商中证煤炭等权指数A(161724)"
A股,930599,2015-03-01,中证高装,成长,,-31.23%,-55.53%,35.34%,45.41%,2.7e+01,6.78%,15.89%,3.1,33.15%,39.36%,11.48%,0.42,1.09%,"东财高端制造增强A(011667), 东财高端制造增强C(011668), 天弘中证高端装备制造增强A(012212), 天弘中证高端装备制造增强C(012213)"
A股,930986,2017-06-21,金融科技,成长,,-16.13%,-46.13%,35.77%,19.23%,6.4e+01,68.06%,49.89%,4.8,57.69%,35.53%,7.50%,0.12,0.53%,"华宝中证金融科技主题ETF发起式联接A(013477), 华宝中证金融科技主题ETF发起式联接C(013478), 华夏中证金融科技主题ETF(516100), 博时金融科技ETF(516860), 金科ETF(159851)"
A股,399008,2010-03-21,中小300,成长,,-23.52%,-51.15%,36.13%,30.75%,2.6e+01,6.65%,24.40%,2.8,7.18%,16.96%,10.77%,0.42,1.28%,"广发中小企业300ETF联接C(010432), 广发中小企业300ETF联接A(270026), 广发中小企业300ETF(159907)"
A股,000021,2008-09-09,180治理,价值,,-19.59%,-48.78%,36.30%,24.36%,8.3,27.01%,23.84%,0.97,13.14%,22.03%,11.69%,1.4,4.48%,"交银上证180公司治理ETF联接(519686), 交银上证180公司治理ETF(510010)"
A股,000056,2010-01-03,上证国企,价值,,-19.24%,-48.64%,36.40%,23.82%,9.0,30.91%,26.23%,1.0,15.56%,18.09%,11.11%,1.2,4.41%,国企ETF(510270)
A股,930792,2016-04-21,HK银行,价值,,-17.15%,-47.43%,36.55%,20.70%,4.4,12.07%,25.95%,0.48,7.03%,17.84%,10.91%,2.5,7.05%,"泰康香港银行指数A(006809), 泰康香港银行指数C(006810), 鹏华香港银行指数C（LOF）(010365), 鹏华香港银行指数A（LOF）(501025)"
A股,930608,2015-03-30,中证基建,价值,,-10.34%,-43.35%,36.82%,11.53%,9.2,7.70%,22.30%,0.99,6.45%,19.69%,10.76%,1.2,2.54%,"银华中证基建ETF发起式联接A(015761), 国泰中证基建ETF发起联接A(016836), 华安中证基建指数发起式A(016908), 基建ETF(516950), 国泰中证基建ETF(159619), 华夏中证基建ETF(159635)"
A股,399006,2010-05-31,创业板指,成长,,-36.29%,-60.01%,37.23%,56.96%,3.3e+01,5.17%,18.58%,4.6,20.93%,31.88%,13.94%,0.42,0.74%,"天弘创业板ETF联接基金A(001592), 天弘创业板ETF联接基金C(001593), 长城创业板指数增强发起式A(001879), 南方创业板ETF联接A(002656), 光大保德信创业板股票A(003069), 光大保德信创业板股票C(003070), 大成动态量化配置策略混合A(003147), 广发创业板ETF联接A(003765), 广发创业板ETF联接C(003766), 南方创业板ETF联接C(004343), 易方达创业板ETF联接C(004744), 融通创业板指数C(004870), 工银创业板ETF联接A(005390), 工银创业板ETF联接C(005391), 建信创业板ETF联接A(005873), 建信创业板ETF联接C(005874), 华夏创业板ETF联接A(006248), 华夏创业板ETF联接C(006249), 博时创业板ETF联接C(006733), 长城创业板指数增强发起式C(006928), 博时优势企业灵活配置混合C(007234), 永赢创业板A(007664), 永赢创业板C(007665), 平安创业板ETF联接A(009012), 东财创业板A(009046), 东财创业板C(009047), 万家创业板指数增强A(009981), 万家创业板指数增强C(009982), 南方创业板ETF联接E(010183), 诺安创业板指数增强（LOF）C(010356), 浙商创业板指数增强A(010749), 浙商创业板指数增强C(010750), 博时创业板指数A(010785), 中银证券创业板ETF联接A(012116), 中银证券创业板ETF联接C(012117), 浦银安盛创业板ETF联接A(012179), 浦银安盛创业板ETF联接C(012180), 招商创业板指数增强A(012900), 招商创业板指数增强C(012901), 富国创业板指数C(013277), 建信创业板ETF发起联接E(013443), 天弘创业板指数增强A(015794), 博时创业板ETF联接A(050021), 易方达创业板ETF联接A(110026), 融通创业板指数A/B(161613), 诺安创业板指数增强（LOF）A(163209), 嘉实创业板增强策略ETF(159675), 富国创业板增强策略ETF(159676), 融通创业板ETF(159808), 浦银安盛创业板ETF(159810), BOCI创业(159821), 博时创业板ETF(159908), 易方达创业板ETF(159915), 南方创业板ETF(159948), 广发创业板ETF(159952), 建信创业板ETF(159956), 华夏创业板ETF(159957), 创业板ETF工银(159958), 平安创业板ETF(159964), 富国创业板ETF(159971), 创业板ETF天弘(159977), 国泰创业板指数（LOF）A(160223), 鹏华创业板指数(LOF)A(160637), 富国创业板指数A(161022)"
A股,H30094,2013-07-01,消费红利,成长,,-14.91%,-46.60%,37.24%,17.52%,2.9e+01,55.79%,61.45%,6.2,72.45%,61.49%,21.38%,0.74,2.44%,"泰达消费红利指数A(008928), 泰达消费红利指数C(008929), 方正富邦消费红利指数增强（LOF）(501089)"
A股,931481,2020-05-05,SHS线上消费,成长,,-41.67%,-63.61%,37.61%,71.44%,3.2e+01,17.74%,28.26%,3.8,33.21%,36.21%,11.88%,0.37,0.50%,"网购ETF(517280), 平安中证沪港深线上消费主题ETF(159793)"
A股,930641,2015-05-18,中证中药,成长,,-7.55%,-42.37%,37.66%,8.17%,3.2e+01,59.23%,46.22%,3.2,43.37%,30.76%,10.00%,0.31,1.58%,"鹏华中证中药ETF联接A(016891), 汇添富中证中药ETF联接（LOF）A(501011), 汇添富中证中药ETF联接（LOF）C(501012), 汇添富中证中药ETF(560080), 中医药(561510), 中药(562390), 中药ETF(159647)"
A股,H30269,2013-12-18,红利低波,价值,,-8.82%,-43.62%,38.17%,9.67%,5.8,28.66%,20.73%,0.65,14.68%,17.66%,11.21%,1.9,6.08%,"创金合信中证红利低波动指数A(005561), 创金合信中证红利低波动指数C(005562), 华泰柏瑞中证红利低波ETF联接A(007466), 华泰柏瑞中证红利低波ETF联接C(007467), 红利LV(512890)"
A股,H11136,2011-09-19,中国互联网,成长,,-65.60%,-78.81%,38.40%,190.70%,2.5e+01,0.77%,13.16%,2.7,9.57%,35.53%,10.80%,0.44,0.41%,交银中证海外中国互联网指数（QDII-LOF）(164906)
A股,931144,2019-05-29,通信技术,成长,,-16.88%,-49.04%,38.69%,20.31%,4e+01,52.54%,42.96%,3.8,51.93%,33.27%,9.50%,0.24,0.61%,"东财通信A(008326), 东财通信C(008327)"
A股,931071,2018-11-20,人工智能,成长,,-28.80%,-56.62%,39.07%,40.45%,6.8e+01,100.00%,54.73%,5.2,65.90%,37.16%,7.65%,0.11,0.49%,"华富人工智能ETF联接A(008020), 华富人工智能ETF联接C(008021), 华富中证人工智能产业ETF(515980)"
A股,399438,2014-12-29,绿色电力,价值,,-25.33%,-54.52%,39.09%,33.92%,2.4e+01,84.17%,49.45%,1.9,73.48%,34.41%,7.92%,0.33,2.12%,"嘉实国证绿色电力ETF发起联接A(017056), 嘉实国证绿色电力ETF发起联接C(017057), 国泰国证绿色电力ETF发起联接A(018034), 嘉实国证绿色电力ETF(159625), 国泰国证绿色电力ETF(159669)"
A股,399610,2010-11-07,TMT50,成长,,-24.52%,-54.17%,39.28%,32.49%,4.5e+01,66.68%,52.84%,3.7,26.43%,30.45%,8.22%,0.18,0.96%,"招商深证TMT50ETF联接C(004409), 招商深证TMT50ETF联接A(217019), 深证TMT50ETF(159909)"
A股,000824,2012-07-19,国企红利,价值,,-8.51%,-44.51%,39.35%,9.30%,5.9,16.91%,17.02%,0.64,6.98%,12.56%,10.85%,1.8,5.72%,"西部利得国企红利指数增强C(009439), 西部利得国企红利指数增强A（场内简称：国企红利LOF）(501059)"
A股,000904,2007-01-14,中证200,宽基,,-21.41%,-52.74%,39.87%,27.24%,1.6e+01,23.77%,25.81%,1.5,7.59%,12.49%,9.38%,0.58,2.43%,"民生加银中证200指数增强A(009904), 民生加银中证200指数增强C(009905), 泰信中证200指数(290010)"
A股,930713,2015-07-30,CS人工智,成长,,-21.98%,-53.34%,40.19%,28.17%,8.1e+01,99.01%,69.45%,5.5,79.16%,48.48%,6.79%,0.084,0.45%,"华夏中证人工智能主题ETF联接A(008585), 华夏中证人工智能主题ETF联接C(008586), 融通人工智能指数(LOF)C(009239), 西部利得中证人工智能主题指数增强A(011832), 西部利得中证人工智能主题指数增强C(011833), 天弘中证人工智能A(011839), 天弘中证人工智能C(011840), 易方达中证人工智能主题ETF联接A(012733), 平安人工智能ETF(512930), 华夏中证人工智能主题ETF(515070), 易方达中证人工智能主题ETF(159819), 融通人工智能指数(LOF)A(161631)"
A股,000922,2008-05-25,中证红利,价值,,-9.96%,-46.51%,40.59%,11.06%,6.0,13.88%,13.93%,0.67,6.44%,11.22%,11.17%,1.9,5.85%,"大成中证红利指数C(007801), 富国中证红利指数增强C(008682), 南方高股息主题股票A(008736), 南方高股息主题股票C(008737), 易方达中证红利ETF联接发起式A(009051), 易方达中证红利ETF联接发起式C(009052), 招商中证红利ETF联接A(012643), 大成中证红利指数A(090010), 富国中证红利指数增强A/B(100032), 招商中证红利ETF(515080), 易方达中证红利ETF(515180), 博时中证红利ETF(515890), 万家红利A(161907)"
A股,000015,2005-01-03,红利指数,价值,,-11.56%,-47.74%,40.91%,13.07%,5.6,17.53%,16.59%,0.63,12.68%,12.79%,11.25%,2.0,6.34%,"华泰柏瑞红利ETF联接A(012761), 华泰柏瑞红利ETF联接C(012762), 华泰柏瑞上证红利ETF(510880)"
A股,000812,2012-04-10,细分机械,成长,,-36.16%,-62.37%,41.06%,56.64%,2e+01,5.79%,9.98%,2.9,63.96%,48.10%,14.50%,0.71,1.46%,"国泰中证细分机械设备产业主题ETF联接A(012516), 国泰中证细分机械设备产业主题ETF联接C(012517), 国泰中证细分机械设备产业主题ETF(516960), 富国中证细分机械设备产业主题ETF(159886)"
A股,399673,2014-06-17,创业板50,成长,,-39.75%,-64.75%,41.49%,65.98%,3.2e+01,7.57%,14.89%,5.2,30.38%,39.30%,16.25%,0.5,0.70%,"交银创业板50指数A(007464), 交银创业板50指数C(007465), 景顺长城创业板50ETF联接A(017949), 华安创业板50指数A(160420), 华安创业板50ETF联接A(160422), 华安创业板50ETF联接C(160424), 创50ETF(159681), 景顺长城创业板50ETF(159682), 华安创业板50ETF(159949)"
A股,399377,2010-01-03,小盘价值,价值,,-22.58%,-54.72%,41.51%,29.17%,1.4e+01,33.68%,31.82%,1.1,8.61%,10.34%,7.86%,0.54,3.06%,"银华巨潮小盘价值ETF发起式联接A(010561), 小盘价值(159990)"
A股,000993,2011-08-01,全指信息,成长,,-28.51%,-58.39%,41.80%,39.88%,5.5e+01,47.62%,50.01%,4.0,37.11%,37.52%,7.27%,0.13,0.66%,"广发信息技术联接A(000942), 广发信息技术联接C(002974), 广发中证全指信息技术ETF(159939)"
A股,000858,2013-11-05,500信息,成长,,-29.89%,-59.58%,42.35%,42.63%,8.9e+01,86.81%,71.42%,3.7,62.49%,41.96%,4.16%,0.047,0.51%,"南方中证500信息ETF发起联接A(002900), 南方中证500信息ETF发起联接C(004347), 南方中证500信息技术ETF(512330)"
A股,399975,2013-07-14,证券公司,价值,,-35.83%,-63.23%,42.70%,55.84%,1.9e+01,26.28%,46.93%,1.3,10.18%,19.24%,6.84%,0.35,1.52%,"南方中证全指证券公司ETF联接A(004069), 南方中证全指证券公司ETF联接C(004070), 华宝券商ETF联接(006098), 华宝券商ETF联接C(007531), 华夏中证全指证券公司ETF联接A(007992), 华夏中证全指证券公司ETF联接C(007993), 天弘中证全指证券公司ETF发起式联接A(008590), 天弘中证全指证券公司ETF发起式联接C(008591), 鹏华券商C(012044), 国泰中证全指证券公司ETF联接A(012362), 国泰中证全指证券公司ETF联接C(012363), 易方达中证全指证券公司ETF联接A(012590), 建信中证全指证券公司ETF发起式联接A(012645), 建信中证全指证券公司ETF发起式联接C(012646), 易方达中证全指证券公司指数（LOF）C(012874), 富国中证全指证券公司指数C(013276), 招商中证全指证券公司指数C(013597), 嘉实中证全指证券公司指数发起式A(016842), 华安中证全指证券公司指数A(160419), 博时证券公司指数(160516), 汇添富中证全指证券公司指数（LOF )A(501047), 汇添富中证全指证券公司指数（LOF )C(501048), 易方达中证全指证券公司指数（LOF）A(502010), 长盛中证证券公司指数（LOF）(502053), 华宝中证全指证券公司ETF(512000), 易方达中证全指证券公司ETF(512570), 国泰中证全指证券公司ETF(512880), 南方中证全指证券公司ETF(512900), 华夏中证全指证券公司ETF(515010), 建信中证全指证券公司ETF(515560), 富国中证全指证券公司ETF(515850), 华安中证全指证券公司ETF(516200), 汇添富中证全指证券公司ETF(560090), 证券ETF(159841), 券商ETF(159842), 国联安证券ETF(159848), 鹏华券商A(160633), 富国中证全指证券公司指数A(161027), 招商中证全指证券公司指数A(161720)"
A股,000042,2009-03-29,上证央企,价值,,-14.24%,-50.88%,42.72%,16.60%,8.1,33.87%,23.17%,0.91,19.83%,20.44%,11.23%,1.4,4.81%,工银上证央企ETF(510060)
A股,930601,2015-03-09,中证软件,成长,,-29.98%,-60.01%,42.89%,42.82%,1.4e+02,92.66%,79.05%,6.3,70.52%,56.77%,4.50%,0.032,0.33%,"嘉实中证软件服务ETF联接A(012619), 嘉实中证软件服务ETF联接C(012620), 万家中证软件服务指数发起式(018182), 嘉实中证软件服务ETF(159852)"
A股,931160,2013-07-14,通信设备,成长,,-11.38%,-49.42%,42.92%,12.84%,3.3e+01,20.45%,42.06%,3.7,61.59%,42.32%,11.21%,0.34,1.12%,"国泰中证全指通信设备ETF联接A(007817), 国泰中证全指通信设备ETF联接C(007818), 国泰中证全指通信设备ETF(515880)"
A股,000068,2010-05-27,上证资源,价值,,-23.29%,-56.41%,43.18%,30.36%,9.0,5.34%,13.42%,1.3,56.69%,33.18%,14.44%,1.6,6.07%,"博时上证自然资源ETF联接(050024), 博时上证自然资源ETF(510410)"
A股,000905,2007-01-14,中证500,宽基,,-19.62%,-54.35%,43.21%,24.41%,2.4e+01,26.44%,33.50%,1.9,25.21%,21.96%,7.92%,0.34,1.66%,"嘉实中证500ETF联接A(000008), 建信中证500指数增强A(000478), 天弘中证500ETF联接A(000962), 华夏中证500ETF联接A(001052), 华泰柏瑞中证500ETF联接A(001214), 国寿安保中证500ETF联接(001241), 诺安中证500增强A(001351), 景顺长城中证500ETF联接(001455), 天弘中证500指数增强A(001556), 天弘中证500指数增强C(001557), 浙商中证500增强A(002076), 创金合信中证500增强A(002311), 创金合信中证500增强C(002316), 申万菱信中证500指数增强(002510), 广发中证500ETF联接C(002903), 南方中证500量化增强股票发起A(002906), 南方中证500量化增强股票发起C(002907), 中金中证500A(003016), 中金中证500C(003578), 国泰中证500指数增强A(003760), 国泰中证500指数增强C(003761), 申万菱信中证500指数优选增强(003986), 招商中证500指数增强A(004192), 招商中证500指数增强C(004193), 南方中证500ETF联接（LOF）C(004348), 富荣中证500指数增强A(004790), 富荣中证500指数增强C(004791), 长信中证500指数A(004945), 博时中证500指数增强A(005062), 华宝中证500增强A(005607), 华宝中证500增强C(005608), 建信中证500指数增强C(005633), 博时中证500指数增强C(005795), 天弘中证500ETF联接C(005919), 安信中证500指数增强A(005965), 安信中证500指数增强C(005966), 国投瑞银中证500指数量化增强A(005994), 长城中证500指数增强A(006048), 华泰柏瑞中证500ETF联接C(006087), 平安500ETF联接A(006214), 平安500ETF联接C(006215), 华夏中证500ETF联接C(006382), 中信建投中证500增强A(006440), 中信建投中证500增强C(006441), 博道中证500增强A(006593), 博道中证500增强C(006594), 人保中证500(006611), 方正富邦中证500ETF联接A(006656), 方正富邦中证500ETF联接C(006657), 景顺长城中证500指数增强A(006682), 万家中证500指数增强发起式A(006729), 万家中证500指数增强发起式C(006730), 中证500增强A(006783), 中证500增强C(006784), 鹏华中证500指数C类（LOF）(006938), 易方达中证500ETF联接发起式A(007028), 易方达中证500ETF联接发起式C(007029), 国投瑞银中证500指数量化增强C(007089), 工银中证500ETF联接C(007223), 浙商中证500增强C(007386), 摩根研究驱动股票A(007388), 摩根研究驱动股票C(007389), 长城中证500指数增强C(007413), 申万菱信中证500指数优选增强C(007794), 申万菱信中证500指数增强C(007795), 博道伍佰智航A(007831), 博道伍佰智航C(007832), 中融中证500ETF联接A(007885), 中融中证500ETF联接C(007886), 鹏华中证500ETF联接A(007932), 富安达中证500指数增强(007943), 华夏中证500指数增强A(007994), 华夏中证500指数增强C(007995), 鹏华中证500ETF联接C(008001), 中泰中证500指数增强A(008112), 中泰中证500指数增强C(008113), 中邮中证500指数增强C(008124), 中银证券中证500ETF联接A(008258), 中银证券中证500ETF联接C(008259), 博时中证500ETF联接A(008396), 博时中证500ETF联接C(008397), 嘉实中证500指数增强A(008778), 嘉实中证500指数增强C(008779), 海富通中证500增强C(009004), 西部利得中证500指数增强C(009300), 平安中证500指数增强A(009336), 平安中证500指数增强C(009337), 广发中证500指数增强A(009608), 广发中证500指数增强C(009609), 上银中证500指数增强型A(009613), 上银中证500指数增强型C(009614), 中加中证500指数增强A(010153), 中加中证500指数增强C(010154), 汇安中证500增强A(010157), 汇安中证500增强C(010158), 兴银中证500指数增强A(010253), 诺安中证500增强C(010355), 东财中证500A(010992), 东财中证500C(010993), 兴银中证500指数增强C(011205), 九泰中证500指数增强(011519), 泰康中证500ETF联接A(011964), 易方达中证500量化增强A(012080), 易方达中证500量化增强C(012081), 汇添富中证500基本面增强指数A(012498), 汇添富中证500基本面增强指数C(012499), 民生加银中证500指数增强发起式A(012926), 民生加银中证500指数增强发起式C(012927), 中信保诚中证500指数（LOF）C(013119), 华夏中证500指数智选增强A(013233), 华夏中证500指数智选增强C(013234), 富国中证500指数增强（LOF）C(013332), 光大保德信中证500指数增强A(013639), 光大保德信中证500指数增强C(013640), 国泰中证500ETF发起联接A(013833), 国泰中证500ETF发起联接C(013834), 圆信永丰中证500指数增强发起A(013878), 圆信永丰中证500指数增强发起C(013879), 长信中证500指数C(013881), 工银中证500六个月持有指数增强A(014133), 工银中证500六个月持有指数增强C(014134), 国泰君安中证500指数增强A(014155), 国泰君安中证500指数增强C(014156), 华泰柏瑞中证500指数增强A(014305), 鹏华中证500指数增强A(014344), 鹏华中证500指数增强C(014345), 华安中证500指数增强A(014587), 中欧中证500指数增强A(015453), 兴业中证500指数增强A(015507), 建信中证500指数量化增强发起A(016267), 东方中证500指数增强A(016323), 华泰紫金中证500指数增强发起A(016865), 兴业中证500ETF发起式联接(016968), 嘉实中证500ETF联接C(070039), 工银中证500ETF联接A(164809), 海富通中证500增强A(519034), 中邮中证500指数增强A(590007), 农银中证500指数(660011), 汇添富中证500指数（LOF）A(501036), 汇添富中证500指数（LOF）C(501037), 西部利得中证500指数增强A(502000), 南方中证500ETF(510500), 广发中证500ETF(510510), 工银中证500ETF(510530), 方正富邦中证500ETF(510550), 国寿安保中证500ETF(510560), 兴业中证500ETF(510570), 易方达中证500ETF(510580), 平安中证500ETF(510590), 华夏中证500ETF(512500), 华泰柏瑞中证500ETF(512510), 中银证券中证500ETF(515190), 泰康500(515530), 中融500(515550), 南方中证500增强策略ETF(560100), 国泰中证500ETF(561350), 500指增(561550), 招商中证500增强策略ETF(561950), 易方达中证500增强策略ETF(563030), 景顺长城中证500增强策略ETF(159610), 博时中证500增强ETF(159678), 中证500ETF天弘(159820), 嘉实中证500ETF(159922), 景顺长城中证500ETF(159935), 博时中证500ETF(159968), 中证500(159982), 永赢中证500ETF(159999), 南方中证500ETF联接（LOF）A(160119), 鹏华中证500指数A类（LOF）(160616), 富国中证500指数增强（LOF）A/B(161017), 泰达宏利500指数增强（LOF）(162216), 广发中证500ETF联接（LOF）A(162711), 中信保诚中证500指数（LOF）A(165511)"
A股,H30202,2013-07-14,软件指数,成长,,-16.72%,-52.86%,43.40%,20.08%,1.5e+02,90.40%,69.03%,6.4,54.88%,43.17%,4.27%,0.029,0.30%,"国泰中证全指软件ETF联接A(012636), 国泰中证全指软件ETF联接C(012637), 国泰中证全指软件ETF(515230), 招商中证全指软件ETF(159899)"
A股,931480,2020-05-05,线上消费,成长,,-30.53%,-60.72%,43.46%,43.95%,1.1e+02,93.14%,65.02%,3.6,67.94%,43.34%,3.27%,0.03,0.59%,线上消费ETF(159725)
A股,000044,2009-07-02,上证中盘,宽基,,-17.38%,-53.49%,43.71%,21.04%,1e+01,24.84%,25.08%,1.1,9.73%,13.58%,11.00%,1.1,3.72%,"易方达上证中盘ETF联接C(004743), 易方达上证中盘ETF联接A(110021), 易方达上证中盘ETF(510130)"
A股,399974,2014-08-06,国企改革,价值,,-21.32%,-55.92%,43.98%,27.10%,1.2e+01,32.58%,30.25%,1.5,24.55%,25.95%,12.50%,1.0,3.18%,"英大国企改革(001678), 易方达中证国有企业改革指数（LOF）C(012873), 富国中证国有企业改革指数C(014174), 易方达中证国有企业改革指数（LOF）A(502006), 富国中证国有企业改革指数A(161026)"
A股,930716,2015-07-30,CS物流,成长,,-17.99%,-54.31%,44.29%,21.94%,7.7,5.80%,13.83%,1.4,1.15%,4.68%,18.18%,2.4,6.38%,"物流快递(516530), 富国中证现代物流ETF(516910)"
A股,930902,2016-10-17,中证数据,成长,,-27.60%,-60.25%,45.10%,38.12%,1e+02,81.38%,63.35%,5.0,89.95%,48.88%,5.00%,0.049,0.28%,"富国中证大数据产业ETF发起式联接A(018134), 富国中证大数据产业ETF(515400), 华夏中证大数据产业ETF(516000), 大数据产业ETF(516700)"
A股,000009,2010-11-28,上证380,宽基,,-17.00%,-54.57%,45.27%,20.48%,1.4e+01,0.86%,6.96%,1.6,1.07%,4.04%,11.43%,0.83,2.59%,"南方上证380ETF联接C(007571), 南方上证380ETF联接A(202025), 南方上证380ETF(510290)"
A股,000986,2011-08-01,全指能源,周期,,-16.41%,-54.25%,45.27%,19.63%,7.9,5.25%,13.57%,1.1,46.47%,34.29%,13.92%,1.8,7.22%,广发中证全指能源ETF(159945)
A股,000901,2010-04-01,小康指数,价值,,-13.35%,-52.68%,45.39%,15.41%,1e+01,26.77%,16.31%,1.1,10.10%,13.36%,11.00%,1.1,3.88%,"南方中证小康产业ETF联接C(004346), 南方中证小康产业ETF联接A(202021), 南方中证小康产业ETF(510160)"
A股,399803,2015-02-12,工业4.0,成长,,-28.95%,-61.21%,45.40%,40.75%,2.9e+01,12.36%,18.47%,4.0,21.39%,30.33%,13.79%,0.48,1.17%,"富国中证工业4.0指数C(014172), 富国中证工业4.0指数A(161031)"
A股,000998,2011-11-07,中证TMT,成长,,-24.27%,-58.89%,45.72%,32.05%,3.3e+01,22.54%,41.55%,2.8,17.65%,29.76%,8.48%,0.26,1.65%,"中信保诚中证TMT指数（LOF）C(013122), 中信保诚中证TMT指数（LOF）A(165522)"
A股,399996,2014-09-16,智能家居,成长,,-21.27%,-57.81%,46.41%,27.02%,2.9e+01,40.90%,39.85%,3.2,26.00%,26.93%,11.03%,0.38,1.47%,"中信保诚中证智能家居指数（LOF）C(013084), 中信保诚中证智能家居指数（LOF）A(165524)"
A股,000928,2009-07-02,中证能源,价值,,-13.42%,-54.25%,47.16%,15.50%,8.4,6.20%,17.23%,1.1,43.56%,34.00%,13.10%,1.6,6.74%,汇添富中证能源ETF(159930)
A股,399991,2015-02-15,一带一路,价值,,-15.26%,-55.47%,47.45%,18.01%,1.2e+01,20.25%,20.30%,1.2,37.87%,18.32%,10.00%,0.84,3.59%,"安信一带一路指数(167503), 鹏华中证一带一路主题指数(LOF)A(160638)"
A股,399973,2014-04-14,中证国防,成长,,-38.12%,-67.69%,47.79%,61.60%,4.3e+01,6.40%,9.57%,3.4,32.59%,29.83%,7.91%,0.19,0.61%,"鹏华国防C(012041), 国防ETF(512670), 鹏华国防A(160630)"
A股,399624,2011-08-14,中创400,成长,,-17.70%,-57.95%,48.91%,21.51%,4.1e+01,37.71%,45.98%,2.7,18.47%,23.39%,6.59%,0.16,0.99%,"嘉实中创400ETF联接C(005727), 嘉实中创400ETF联接A(070030), 嘉实中创400ETF(159918)"
A股,399806,2014-07-20,环境治理,成长,,-28.08%,-63.61%,49.40%,39.04%,3.5e+01,64.55%,51.08%,1.8,34.25%,21.94%,5.14%,0.15,1.19%,"交银中证环境治理指数(LOF)C(013413), 交银中证环境治理指数(LOF)A(164908), 汇添富中证环境治理指数A(501030), 汇添富中证环境治理指数C(501031)"
