000036,上证消费,成长,华夏消费ETF(510630)
930820,CS高端制,成长,富国中证高端制造指数增强型（LOF）A(161037)
399701,深证F60,价值,"建信深证基本面60ETF联接C(006363), 建信深证基本面60ETF联接A(530015), 建信深证基本面60ETF(159916)"
931461,电子50,成长,"华宝电子ETF联接A(012550), 华宝电子ETF联接C(012551), 华安中证电子50ETF发起式联接A(014632), 电子ETF(515260), 华安中证电子50ETF(515320)"
H30015,800汽车,成长,"国泰中证800汽车与零部件ETF发起联接A(012973), 国泰中证800汽车与零部件ETF发起联接C(012974), 国泰中证800汽车与零部件ETF(516110)"
931663,SHS消费龙头,成长,"汇添富中证沪港深消费龙头指数发起A(013129), 汇添富中证沪港深消费龙头指数发起C(013130), 招商中证沪港深消费龙头ETF(517550), 浦银安盛中证沪港深消费龙头ETF(517760)"
931187,科技100,成长,"华泰柏瑞中证科技100ETF联接A(008399), 华泰柏瑞中证科技100ETF联接C(008400), 天弘中证科技100指数增强A(010202), 天弘中证科技100指数增强C(010203), 华泰柏瑞中证科技100ETF(515580), 南方中证科技100ETF(159853)"
399702,深证F120,价值,"嘉实深证基本面120ETF联接C(005998), 嘉实深证基本面120ETF联接A(070023), 嘉实深证基本面120ETF(159910)"
931395,沪港深300,宽基,"国寿安保沪港深300ETF联接A(012663), 易方达中证沪港深300ETF(517030), 沪港深300ETF(517300)"
000037,上证医药,成长,华夏医药ETF(510660)
931775,房地产,价值,"南方中证房地产ETF发起联接A(004642), 南方中证房地产ETF发起联接C(004643), 华夏中证全指房地产ETF联接A(008088), 华夏中证全指房地产ETF联接C(008089), 南方中证房地产ETF发起联接E(010989), 南方中证全指房地产ETF(512200), 华夏中证全指房地产ETF(515060)"
000688,科创50,成长,"易方达上证科创板50联接A(011608), 易方达上证科创板50联接C(011609), 科创板ETF联接A(011610), 科创板ETF联接C(011611), 华夏上证科创板50成份ETF联接A(011612), 华夏上证科创板50成份ETF联接C(011613), 工银科创ETF联接A(011614), 工银科创ETF联接C(011615), 广发科创50ETF发起式联接A(013810), 广发科创50ETF发起式联接C(013811), 国联安上证科创50ETF联接A(013893), 嘉实上证科创板50指数增强发起式A(017188), 华夏上证科创板50成份ETF(588000), 科创ETF(588050), 广发科创50ETF (588060), 易方达上证科创板50ETF(588080), 科创板ETF(588090), 南方上证科创板50成份ETF(588150), 国联安科创ETF(588180), 华安上证科创板50ETF(588280), 南方上证科创板50成份增强策略ETF(588370), 科创50增强ETF(588460)"
H30455,沪港深500,宽基,"富国中证沪港深500ETF联接A(012275), 富国中证沪港深500ETF联接C(012276), 华夏中证沪港深500ETF发起式联接A(017557), 沪港深(517000), 易方达中证沪港深500ETF(517010), 汇添富中证沪港深500ETF(517080), 富国中证沪港深500ETF(517100), 华夏中证沪港深500ETF(517170)"
931139,CS消费50,成长,"富国中证消费50ETF联接A(008975), 富国中证消费50ETF联接C(008976), 东兴中证消费50A(009116), 东兴中证消费50C(009117), 富国中证消费50ETF(515650), 易方达中证消费50ETF(159798)"
000043,超大盘,价值,"博时上证超大盘ETF联接(050013), 博时上证超大盘ETF(510020)"
399313,巨潮100,宽基,"融通巨潮100指数C(004874), 融通巨潮100指数A/B(161607)"
931087,科技龙头,成长,"华宝科技ETF联接A(007873), 华宝科技ETF联接C(007874), 工银科技龙头ETF发起式联接A(012882), 工银科技龙头ETF发起式联接C(012883), 华宝中证科技龙头ETF(515000), 科技龙头ETF(516050)"
